task,owner_hint,requirement_id,authority_kind,review_status,source_uri_status,source_uri,source_file,snapshot_out,intake_out,issuer,subject,issued_at,expires_at,description,blocking_reasons,remediation_action
byoc-self-hosted:kms-hsm,security/platform KMS owner,byoc-self-hosted,kms-hsm,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/byoc-self-hosted/kms-hsm.json,artifacts/external-evidence-sources/byoc-self-hosted/kms-hsm.json,artifacts/external-evidence-intakes/byoc-self-hosted/kms-hsm.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_byoc-self-hosted:kms-hsm,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for byoc-self-hosted:kms-hsm,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
byoc-self-hosted:provider-api,integration/platform owner,byoc-self-hosted,provider-api,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/byoc-self-hosted/provider-api.json,artifacts/external-evidence-sources/byoc-self-hosted/provider-api.json,artifacts/external-evidence-intakes/byoc-self-hosted/provider-api.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_byoc-self-hosted:provider-api,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for byoc-self-hosted:provider-api,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
byoc-self-hosted:standards-body,standards/governance owner,byoc-self-hosted,standards-body,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/byoc-self-hosted/standards-body.json,artifacts/external-evidence-sources/byoc-self-hosted/standards-body.json,artifacts/external-evidence-intakes/byoc-self-hosted/standards-body.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_byoc-self-hosted:standards-body,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for byoc-self-hosted:standards-body,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
cicd-provider-approvals:ci-run,release engineering,cicd-provider-approvals,ci-run,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/cicd-provider-approvals/ci-run.json,artifacts/external-evidence-sources/cicd-provider-approvals/ci-run.json,artifacts/external-evidence-intakes/cicd-provider-approvals/ci-run.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_cicd-provider-approvals:ci-run,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for cicd-provider-approvals:ci-run,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
cicd-provider-approvals:hosted-service,service owner,cicd-provider-approvals,hosted-service,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/cicd-provider-approvals/hosted-service.json,artifacts/external-evidence-sources/cicd-provider-approvals/hosted-service.json,artifacts/external-evidence-intakes/cicd-provider-approvals/hosted-service.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_cicd-provider-approvals:hosted-service,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for cicd-provider-approvals:hosted-service,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
cicd-provider-approvals:identity-provider,IAM/identity owner,cicd-provider-approvals,identity-provider,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/cicd-provider-approvals/identity-provider.json,artifacts/external-evidence-sources/cicd-provider-approvals/identity-provider.json,artifacts/external-evidence-intakes/cicd-provider-approvals/identity-provider.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_cicd-provider-approvals:identity-provider,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for cicd-provider-approvals:identity-provider,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
cicd-provider-approvals:provider-api,integration/platform owner,cicd-provider-approvals,provider-api,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/cicd-provider-approvals/provider-api.json,artifacts/external-evidence-sources/cicd-provider-approvals/provider-api.json,artifacts/external-evidence-intakes/cicd-provider-approvals/provider-api.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_cicd-provider-approvals:provider-api,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for cicd-provider-approvals:provider-api,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
compliance-mapper-and-eu-ai-act:provider-api,integration/platform owner,compliance-mapper-and-eu-ai-act,provider-api,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/compliance-mapper-and-eu-ai-act/provider-api.json,artifacts/external-evidence-sources/compliance-mapper-and-eu-ai-act/provider-api.json,artifacts/external-evidence-intakes/compliance-mapper-and-eu-ai-act/provider-api.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_compliance-mapper-and-eu-ai-act:provider-api,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for compliance-mapper-and-eu-ai-act:provider-api,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
compliance-mapper-and-eu-ai-act:regulator,legal/compliance owner,compliance-mapper-and-eu-ai-act,regulator,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/compliance-mapper-and-eu-ai-act/regulator.json,artifacts/external-evidence-sources/compliance-mapper-and-eu-ai-act/regulator.json,artifacts/external-evidence-intakes/compliance-mapper-and-eu-ai-act/regulator.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_compliance-mapper-and-eu-ai-act:regulator,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for compliance-mapper-and-eu-ai-act:regulator,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
compliance-mapper-and-eu-ai-act:standards-body,standards/governance owner,compliance-mapper-and-eu-ai-act,standards-body,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/compliance-mapper-and-eu-ai-act/standards-body.json,artifacts/external-evidence-sources/compliance-mapper-and-eu-ai-act/standards-body.json,artifacts/external-evidence-intakes/compliance-mapper-and-eu-ai-act/standards-body.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_compliance-mapper-and-eu-ai-act:standards-body,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for compliance-mapper-and-eu-ai-act:standards-body,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
design-partner-pilot-exit-criteria:customer,customer success/account owner,design-partner-pilot-exit-criteria,customer,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/design-partner-pilot-exit-criteria/customer.json,artifacts/external-evidence-sources/design-partner-pilot-exit-criteria/customer.json,artifacts/external-evidence-intakes/design-partner-pilot-exit-criteria/customer.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_design-partner-pilot-exit-criteria:customer,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for design-partner-pilot-exit-criteria:customer,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
design-partner-pilot-exit-criteria:insurer,risk/insurance owner,design-partner-pilot-exit-criteria,insurer,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/design-partner-pilot-exit-criteria/insurer.json,artifacts/external-evidence-sources/design-partner-pilot-exit-criteria/insurer.json,artifacts/external-evidence-intakes/design-partner-pilot-exit-criteria/insurer.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_design-partner-pilot-exit-criteria:insurer,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for design-partner-pilot-exit-criteria:insurer,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
design-partner-pilot-exit-criteria:regulator,legal/compliance owner,design-partner-pilot-exit-criteria,regulator,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/design-partner-pilot-exit-criteria/regulator.json,artifacts/external-evidence-sources/design-partner-pilot-exit-criteria/regulator.json,artifacts/external-evidence-intakes/design-partner-pilot-exit-criteria/regulator.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_design-partner-pilot-exit-criteria:regulator,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for design-partner-pilot-exit-criteria:regulator,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
framework-adapters:ci-run,release engineering,framework-adapters,ci-run,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/framework-adapters/ci-run.json,artifacts/external-evidence-sources/framework-adapters/ci-run.json,artifacts/external-evidence-intakes/framework-adapters/ci-run.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_framework-adapters:ci-run,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for framework-adapters:ci-run,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
framework-adapters:hosted-service,service owner,framework-adapters,hosted-service,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/framework-adapters/hosted-service.json,artifacts/external-evidence-sources/framework-adapters/hosted-service.json,artifacts/external-evidence-intakes/framework-adapters/hosted-service.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_framework-adapters:hosted-service,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for framework-adapters:hosted-service,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
framework-adapters:provider-api,integration/platform owner,framework-adapters,provider-api,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/framework-adapters/provider-api.json,artifacts/external-evidence-sources/framework-adapters/provider-api.json,artifacts/external-evidence-intakes/framework-adapters/provider-api.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_framework-adapters:provider-api,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for framework-adapters:provider-api,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
insurer-api-and-actuarial-products:ci-run,release engineering,insurer-api-and-actuarial-products,ci-run,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/insurer-api-and-actuarial-products/ci-run.json,artifacts/external-evidence-sources/insurer-api-and-actuarial-products/ci-run.json,artifacts/external-evidence-intakes/insurer-api-and-actuarial-products/ci-run.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_insurer-api-and-actuarial-products:ci-run,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for insurer-api-and-actuarial-products:ci-run,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
insurer-api-and-actuarial-products:customer,customer success/account owner,insurer-api-and-actuarial-products,customer,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/insurer-api-and-actuarial-products/customer.json,artifacts/external-evidence-sources/insurer-api-and-actuarial-products/customer.json,artifacts/external-evidence-intakes/insurer-api-and-actuarial-products/customer.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_insurer-api-and-actuarial-products:customer,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for insurer-api-and-actuarial-products:customer,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
insurer-api-and-actuarial-products:hosted-service,service owner,insurer-api-and-actuarial-products,hosted-service,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/insurer-api-and-actuarial-products/hosted-service.json,artifacts/external-evidence-sources/insurer-api-and-actuarial-products/hosted-service.json,artifacts/external-evidence-intakes/insurer-api-and-actuarial-products/hosted-service.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_insurer-api-and-actuarial-products:hosted-service,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for insurer-api-and-actuarial-products:hosted-service,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
insurer-api-and-actuarial-products:identity-provider,IAM/identity owner,insurer-api-and-actuarial-products,identity-provider,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/insurer-api-and-actuarial-products/identity-provider.json,artifacts/external-evidence-sources/insurer-api-and-actuarial-products/identity-provider.json,artifacts/external-evidence-intakes/insurer-api-and-actuarial-products/identity-provider.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_insurer-api-and-actuarial-products:identity-provider,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for insurer-api-and-actuarial-products:identity-provider,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
insurer-api-and-actuarial-products:insurer,risk/insurance owner,insurer-api-and-actuarial-products,insurer,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/insurer-api-and-actuarial-products/insurer.json,artifacts/external-evidence-sources/insurer-api-and-actuarial-products/insurer.json,artifacts/external-evidence-intakes/insurer-api-and-actuarial-products/insurer.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_insurer-api-and-actuarial-products:insurer,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for insurer-api-and-actuarial-products:insurer,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
insurer-api-and-actuarial-products:kms-hsm,security/platform KMS owner,insurer-api-and-actuarial-products,kms-hsm,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/insurer-api-and-actuarial-products/kms-hsm.json,artifacts/external-evidence-sources/insurer-api-and-actuarial-products/kms-hsm.json,artifacts/external-evidence-intakes/insurer-api-and-actuarial-products/kms-hsm.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_insurer-api-and-actuarial-products:kms-hsm,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for insurer-api-and-actuarial-products:kms-hsm,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
insurer-api-and-actuarial-products:provider-api,integration/platform owner,insurer-api-and-actuarial-products,provider-api,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/insurer-api-and-actuarial-products/provider-api.json,artifacts/external-evidence-sources/insurer-api-and-actuarial-products/provider-api.json,artifacts/external-evidence-intakes/insurer-api-and-actuarial-products/provider-api.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_insurer-api-and-actuarial-products:provider-api,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for insurer-api-and-actuarial-products:provider-api,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
mcp-gateway:ci-run,release engineering,mcp-gateway,ci-run,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/mcp-gateway/ci-run.json,artifacts/external-evidence-sources/mcp-gateway/ci-run.json,artifacts/external-evidence-intakes/mcp-gateway/ci-run.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_mcp-gateway:ci-run,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for mcp-gateway:ci-run,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
mcp-gateway:hosted-service,service owner,mcp-gateway,hosted-service,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/mcp-gateway/hosted-service.json,artifacts/external-evidence-sources/mcp-gateway/hosted-service.json,artifacts/external-evidence-intakes/mcp-gateway/hosted-service.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_mcp-gateway:hosted-service,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for mcp-gateway:hosted-service,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
mcp-gateway:kms-hsm,security/platform KMS owner,mcp-gateway,kms-hsm,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/mcp-gateway/kms-hsm.json,artifacts/external-evidence-sources/mcp-gateway/kms-hsm.json,artifacts/external-evidence-intakes/mcp-gateway/kms-hsm.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_mcp-gateway:kms-hsm,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for mcp-gateway:kms-hsm,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
mcp-gateway:provider-api,integration/platform owner,mcp-gateway,provider-api,blocked,placeholder,REPLACE_WITH_LIVE_AUTHORITY_URI,artifacts/external-evidence-sources/mcp-gateway/provider-api.json,artifacts/external-evidence-sources/mcp-gateway/provider-api.json,artifacts/external-evidence-intakes/mcp-gateway/provider-api.json,REPLACE_WITH_AUTHORITY_ISSUER,REPLACE_WITH_AUTHORITY_SUBJECT_FOR_mcp-gateway:provider-api,REPLACE_WITH_RFC3339_ISSUED_AT,REPLACE_WITH_RFC3339_EXPIRES_AT,Production authority evidence for mcp-gateway:provider-api,placeholder-source-uri,"replace source_uri and authority metadata with a live production authority-owned source, then regenerate the submission review"
